TIPO;PROGRESSIVO_DM_ASS;DATA_PRIMA_PUBBLICAZIONE;DM_RIFERIMENTO;GRUPPO_DM_SIMILI;ISCRIZIONE_REPERTORIO;INIZIO_VALIDITA;FINE_VALIDITA;FABBRICANTE_ASSEMBLATORE;CODICE_FISCALE;PARTITA_IVA_VATNUMBER;CODICE_CATALOGO_FABBR_ASS;DENOMINAZIONE_COMMERCIALE;CLASSIFICAZIONE_CND;DESCRIZIONE_CND;DATAFINE_COMMERCIO
1;12116;2008-06-16;;51655;S;2013-10-10;9999-12-31;AESCULAP AG;;812160059;OA332R;UNCINO GRAEFE PUNTUTO;L03140104;UNCINI DIVARICATORI;
1;12117;2008-05-21;;;N;2012-12-06;9999-12-31;EYEKON MEDICAL INC.;;;S104;S104 LENTE DA FISSAZIONE SCLERALE;P030102090104;LENTI PER AFACHICI MONOFOCALI SFERICHE IN PMMA;
1;12118;2008-05-29;;51626;S;2013-10-10;9999-12-31;AESCULAP AG;;812160059;OL610R;DIVARICATORE KILNER 158MM;L149003;RETRATTORI PER ORL;
1;12119;2008-06-16;;52670;S;2013-11-07;9999-12-31;AESCULAP AG;;812160059;ER050R;PINZA BIOPSIA THOMS-GAYLOR 240MM;L031301;PINZE DA BIOPSIA PER CHIRURGIA GENERALE;
1;12120;2008-03-19;;;S;2008-03-19;9999-12-31;MEDTRONIC XOMED;;;1884012 - 1883514 - 1884006 - 1883507 - 1884016 - 1883516 - 1882916 - 1883517;LAME CURVE RAD®;Q030302;FRESE E MANIPOLI MONOUSO PER OTORINOLARINGOIATRIA;
1;12121;2008-12-13;;;S;2017-02-09;9999-12-31;B. BRAUN MELSUNGEN AG;;113055856;8250839SP;SET INFUSOMAT SP. ENTER. SACCA 1000 ML;A03010302;DEFLUSSORI PER POMPA;
1;12122;2008-12-13;;;S;2008-12-13;9999-12-31;MENFIS BIOMEDICA S.R.L.;04268600378;04268600378;FLWZIG;FLOWZIG;Z121605;UROFLUSSOMETRI;
1;12123;2008-11-07;;;S;2008-11-07;9999-12-31;MENFIS BIOMEDICA S.R.L.;04268600378;04268600378;RYNZIG;RYNO ZIG;Z12159008;PNEUMOTACOGRAFI;
1;12124;2008-03-19;;;S;2008-03-19;9999-12-31;MEDTRONIC XOMED;;;1884012M;LAMA CURVA RAD® PER MICROSCOPIA;Q030302;FRESE E MANIPOLI MONOUSO PER OTORINOLARINGOIATRIA;
1;12125;2008-03-19;;;S;2008-03-19;9999-12-31;MEDTRONIC XOMED;;;1884006M;LAMA CURVA RAD® PER MICROSCOPIA;Q030302;FRESE E MANIPOLI MONOUSO PER OTORINOLARINGOIATRIA;
1;12127;2008-03-05;;;N;2008-03-05;9999-12-31;GOLDEN STAR SRL;03688551005;03688551005;RCL 1000;ENDORTHERAPY RCL 1000;Z120602;APPARECCHIATURE PER FISIOTERAPIA;2012-12-17
1;12129;2008-03-08;;;N;2008-03-08;9999-12-31;GOLDEN STAR SRL;03688551005;03688551005;MF1001S;MULTIFISIO-S;Z120602;APPARECCHIATURE PER FISIOTERAPIA;2012-12-17
1;12130;2009-02-06;;;S;2009-02-06;9999-12-31;OLYMPUS MEDICAL SYSTEMS CORP.;;;N2613830;ITKNIFE2 PUNTA A PALLA MONOUSO OLYMPUS;G030399;DISPOSITIVI PER POLIPECTOMIA - ALTRI;
1;12131;2008-03-08;;;N;2008-03-08;9999-12-31;GOLDEN STAR SRL;03688551005;03688551005;MF1001V;MULTIFISIO-V;Z120602;APPARECCHIATURE PER FISIOTERAPIA;2012-12-17
1;12132;2008-03-08;;;N;2008-03-08;9999-12-31;GOLDEN STAR SRL;03688551005;03688551005;E.T.A.C.-V;E.T.A.C.-V;Z120601;APPARECCHIATURE PER ELETTROTERAPIA;2012-12-17
1;12133;2008-10-13;;;S;2017-02-09;9999-12-31;B. BRAUN MELSUNGEN AG;;113055856;8700087SP;SET INFUSOMAT SPACE PUNTO INIEZIONE;A03010302;DEFLUSSORI PER POMPA;
1;12134;2008-09-03;;;N;2008-09-03;9999-12-31;CHANGZHOU SHUANGMA MEDICAL DEVICES CO. LTD.;;;BSM240;SPECULUM VAGINALE STERILE MONOUSO -MIS. S;U089006;SPECULUM;2011-11-30
1;12135;2008-04-10;;;S;2008-04-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113207;PUNTA FACO MINI-20G, 45°;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12136;2008-03-16;;;S;2008-03-16;9999-12-31;FOR HOSPITAL SRL;00965140767;00965140767;FOR1;ROLLERS/RACK KIT;Z12019010;SISTEMI PASSAMALATI;
1;12137;2008-04-10;;;S;2008-04-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113208;PUNTA FACO 22G PER TECNICA BIMANUALE, 5°;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12138;2008-03-08;;;N;2008-03-08;9999-12-31;GOLDEN STAR SRL;03688551005;03688551005;E.T.A.C.-S;E.T.A.C.-S.;Z120601;APPARECCHIATURE PER ELETTROTERAPIA;2012-12-17
1;12139;2008-04-10;;;S;2008-04-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113209;PUNTA FACO 22G PER TECNICA BIMANUALE, 30°;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12140;2008-04-03;;;S;2014-04-24;9999-12-31;MEDILAND SRL;02292840127;02292840127;855601;MATERASSO AD ELEMENTI INTERCAMBIABILI KOMET - PRESS 20;Y033306;MATERASSI E TRAVERSE ANTIDECUBITO;
1;12141;2008-04-10;;;S;2008-04-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113210;PUNTA FACO 22G PER TECNICA BIMANUALE, 45°;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12142;2008-04-10;;;S;2008-04-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113211;PUNTA FACO 22G PER TECNICA BIMANUALE;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12144;2009-01-14;;;N;2009-01-14;9999-12-31;DENTALICA S.P.A.;07314790150;07314790150;TR002161Y;GUANTI TREND PRESA DIAMANTE;T01010102;GUANTI CHIRURGICI IN LATTICE DEPOLVERATI;2012-08-01
1;12145;2008-04-10;;;S;2008-04-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113212;PUNTA FACO KAWANO 19G, 15°;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12147;2008-04-10;;;S;2008-04-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113213;PUNTA FACO KAWANO 19G, 30°;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12148;2008-04-10;;;S;2008-04-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113214;PUNTA FACO KAWANO ASIMMETRICA-19G;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12149;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113215;PUNTA FACO PROGRESSIVA-19G;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12150;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113217;PUNTA FACO PARS PLANA;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12151;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113218;PUNTA FACO CON DIAFRAMMA-19G, 3.2 MM;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12152;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113219;PUNTA FACO 20G PER TECNICA BIMANUALE, 5°;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12153;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113220;PUNTA FACO 20G PER TECNICA BIMANUALE, 15°;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12154;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113221;PUNTA FACO 20G PER TECNICA BIMANUALE, 30°;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12155;2008-03-04;;;S;2008-03-04;9999-12-31;AMPLITUDE S.A.S;;83414448464;2-021290X;LAMA DA SEGA STRETTA SCORE;P091302;LAME MONOUSO PER PROTESICA ORTOPEDICA;
1;12156;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113222;PUNTA FACO 20G PER TECNICA BIMANUALE, ANGOLATA;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12158;2008-04-06;;;S;2008-04-06;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113228;PUNTA FACO BICONICA 19G;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12159;2008-04-06;;;S;2008-04-06;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113229;PUNTA FACO BORDIN HI-FOLLOWABILITY 20G;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12160;2008-12-26;;;S;2008-12-26;9999-12-31;B. BRAUN MELSUNGEN AG;;113055856;8700087;SET ORIGINALE INFUSOMAT PARENTERALE CON PUNTO DI INIEZIONE;A03010105;DEFLUSSORI PER POMPA INFUSIONALE;2012-10-20
1;12161;2008-04-06;;;S;2008-04-06;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113230;PUNTA FACO BICONICA 20G;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12162;2008-04-02;;;S;2008-04-02;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113232;PUNTA FACO BORDIN HI-FOLLOWABILITY 19G;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12163;2008-03-04;;;N;2008-03-04;9999-12-31;OTTICA SERVICE S.R.L.;07362211000;07362211000;"TRAN+COLOREXX;; TR16+COLORE; FTC16+COLORE; SK+COLORE";LENTI OFTALMICHE ORGANICHE COLORATE MONOFOCALI;Y210303;LENTI OFTALMICHE E MONTATURE;2013-03-13
1;12164;2008-04-02;;;S;2008-04-02;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113233;PUNTA FACO BICONICA 21G;Q020699;DISPOSITIVI PER FACOEMULSIFICAZIONE - ALTRI;
1;12165;2008-03-04;;;N;2008-03-04;9999-12-31;OTTICA SERVICE S.R.L.;07362211000;07362211000;"ORIS; FILT; COLCR";LENTI OFTALMICHE MINERALI COLORATE;Y210303;LENTI OFTALMICHE E MONTATURE;2013-03-13
1;12166;2008-05-13;;;S;2008-05-13;9999-12-31;KCI USA INC;;;M6275098/5 - M6275098/10 - M6275096/10 - M6275096/5 - M6275099/10 - M6275099/5;V.A.C. GRANUFOAM SILVER®DRESSING SMALL;Z12040205;APPARECCHIATURE PER MEDICAZIONE SOTTO VUOTO;
1;12167;2008-03-20;;;S;2008-03-20;9999-12-31;MEDTRONIC XOMED;;;8252800;INTERFACCIA PAZIENTE PER NIM-RESPONSE 2.0 - MOD. INCREMENTING;Z12101180;STRUMENTAZIONE PER STIMOLAZIONE NEUROLOGICA PERIFERICA O CENTRALE - COMPONENTI ACCESSORI HARDWARE;
1;12168;2008-03-01;;;S;2008-03-01;9999-12-31;SORIN GROUP ITALIA S.R.L.;10556980158;02109510368;A212-XX;CANNULA ARTERIOSA MODELLO A212;C0301040101;CANNULE ARTERIOSE PER CEC SENZA FILTRO ANTIEMBOLI;2013-03-05
1;12170;2008-03-02;;;S;2008-03-02;9999-12-31;SORIN GROUP ITALIA S.R.L.;10556980158;02109510368;A221-XX;CANNULA ARTERIOSA MODELLO A221;C0301040101;CANNULE ARTERIOSE PER CEC SENZA FILTRO ANTIEMBOLI;2013-03-05
1;12172;2008-03-04;;;S;2008-03-04;9999-12-31;MEDILAND RUSCH CARE SRL;02292840127;02292840127;855357;"MATERASSO KOMET-PRESS ""CLASSIC""";Y033306;MATERASSI E TRAVERSE ANTIDECUBITO;
1;12173;2008-03-04;;;S;2008-03-04;9999-12-31;MEDILAND RUSCH CARE SRL;02292840127;02292840127;855358;"MATERASSO KOMET-PRESS ""A DOPPIA CAMERA""";Y033306;MATERASSI E TRAVERSE ANTIDECUBITO;
1;12175;2008-03-04;;;S;2008-03-04;9999-12-31;MEDILAND RUSCH CARE SRL;02292840127;02292840127;855359;"MATERASSO KOMET-PRESS ""A TUBI INTERCAMBIABILI""";Y033306;MATERASSI E TRAVERSE ANTIDECUBITO;
1;12176;2008-09-11;;;S;2010-07-29;9999-12-31;B. BRAUN MELSUNGEN AG;;113055856;8250383SP;SET INFUSOMAT SPECE PUR CON PUNTO INIEZ.;A03010105;DEFLUSSORI PER POMPA INFUSIONALE;
1;12177;2008-04-03;;;N;2008-04-03;9999-12-31;MORCHER GMBH;;147795732;14XX;CAPSULAR TENSION RING;P0380;PROTESI OCULISTICHE - ACCESSORI;
1;12178;2009-01-14;;;N;2009-01-14;9999-12-31;DENTALICA S.P.A.;07314790150;07314790150;TR002162Y;GUANTI TREND GRIP;T01010101;GUANTI CHIRURGICI IN LATTICE CON POLVERE LUBRIFICANTE;2012-08-01
1;12179;2008-10-13;;;S;2015-10-29;9999-12-31;B. BRAUN MELSUNGEN AG;;113055856;8250731SP;SET INFUSOMAT SPACE PUR;A03010105;DEFLUSSORI PER POMPA INFUSIONALE;
1;12180;2008-03-01;;;N;2008-03-01;9999-12-31;FARMACARE SRL;04076870379;04076870379;909810501;REGGIBRACCIO SEMPLICE;M030599;SISTEMI E PRODOTTI PER IMMOBILIZZAZIONE - ALTRI;
1;12181;2008-04-10;;;N;2008-04-10;9999-12-31;FARMACARE SRL;04076870379;04076870379;909819132;REGGIBRACCIO RINFORZATO;M030599;SISTEMI E PRODOTTI PER IMMOBILIZZAZIONE - ALTRI;
1;12182;2008-10-22;;;S;2008-10-22;9999-12-31;FRESENIUS KABI FRANCE;;17419875786;B230551;VERSYLENE FRESENIUS 500ML NACL 0,9%;V9099;DISPOSITIVI NON COMPRESI NELLE CLASSI PRECEDENTI - ALTRI;
1;12183;2008-04-10;;;N;2008-04-10;9999-12-31;FARMACARE SRL;04076870379;04076870379;909819221;REGGIBRACCIO RINFORZATO;M030599;SISTEMI E PRODOTTI PER IMMOBILIZZAZIONE - ALTRI;
1;12184;2008-03-12;;;N;2008-03-12;9999-12-31;FARMACARE SRL;04076870379;04076870379;909068443;TELO IMPERMEABILE SALVAMATERASSO;T0499;AUSILI PER INCONTINENZA - ALTRI;2011-07-05
1;12185;2008-02-23;;;S;2008-02-23;9999-12-31;DEPUY INTERNATIONAL LTD.;;686914188;950501238;SIGMA HP DIS FEM BLK ATTACH;L091199;STRUMENTARIO PLURIUSO PER PROTESICA ORTOPEDICA - ALTRO;
1;12186;2008-02-23;;;S;2008-02-23;9999-12-31;DEPUY INTERNATIONAL LTD.;;686914188;950501236;SIGMA HP DIS FEM CUT BLK;L091199;STRUMENTARIO PLURIUSO PER PROTESICA ORTOPEDICA - ALTRO;
1;12187;2008-03-12;;;N;2008-03-12;9999-12-31;FARMACARE SRL;04076870379;04076870379;909068468;TELO IMPERMEABILE SALVAMATERASSO;T0499;AUSILI PER INCONTINENZA - ALTRI;2011-07-05
1;12188;2008-05-10;;;S;2008-05-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;133003;SONDA CRYO PER RETINA, SPATOLA;L1705;SONDE PER OFTALMOLOGIA;
1;12189;2008-03-01;;;N;2008-03-01;9999-12-31;FARMACARE SRL;04076870379;04076870379;909068470;TELO IMPERMEABILE SALVAMATERASSO;T0499;AUSILI PER INCONTINENZA - ALTRI;2011-07-05
1;12190;2008-05-11;;;S;2008-05-11;9999-12-31;AMO MANUFACTURING USA, LLC;;;660065;INTERFACCIA PAZIENTE INTRALASE;Z12011080;STRUMENTAZIONE PER LASER-CHIRURGIA - COMPONENTI ACCESSORI HARDWARE;2009-07-04
1;12191;2008-11-16;;;N;2011-11-18;9999-12-31;FARMACARE SRL;04076870379;04076870379;909068518;VELLO ANTIDECUBITO SINTETICO;Y033399;AUSILI ANTIDECUBITO / PREVENZIONE DELLE ULCERE - ALTRI;
1;12192;2008-05-10;;;S;2008-05-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;133004;"SONDA CRYO PER RETINA, ""T""";L1705;SONDE PER OFTALMOLOGIA;
1;12193;2008-10-18;;;N;2008-10-18;9999-12-31;FARMACARE SRL;04076870379;04076870379;909068520;VELLO ANTIDECUBITO SINTETICO;Y033399;AUSILI ANTIDECUBITO / PREVENZIONE DELLE ULCERE - ALTRI;
1;12194;2008-08-06;;;S;2010-07-29;9999-12-31;B. BRAUN MELSUNGEN AG;;113055856;8255172;SET PERFUSOR PVC 50 CM;A03020101;PROLUNGHE A BASSA PRESSIONE;
1;12195;2008-07-13;;;S;2014-09-10;9999-12-31;B. BRAUN MELSUNGEN AG;;113055856;8255059;SET PERFUSOR PE 50 CM;A03020101;PROLUNGHE A BASSA PRESSIONE;
1;12196;2008-03-20;;;S;2008-03-20;9999-12-31;MEDTRONIC XOMED;;;8252900;INTERFACCIA PAZIENTE PER NIM-NEURO 2.0 - MOD. INCREMENTING;Z12101180;STRUMENTAZIONE PER STIMOLAZIONE NEUROLOGICA PERIFERICA O CENTRALE - COMPONENTI ACCESSORI HARDWARE;
1;12197;2008-02-24;;;S;2014-03-06;9999-12-31;FRESENIUS MEDICAL CARE AG & CO KGAA;;811127677;F00003213;PURISTERIL 340, 5 KG;D050101;ACIDO PERACETICO E ACETICO CON PEROSSIDO DI IDROGENO;2014-10-07
1;12198;2008-02-24;;;S;2008-02-24;9999-12-31;FRESENIUS MEDICAL CARE AG & CO KGAA;;811127677;5085671;PURISTERIL 340, 5 KG - GENIUS;D050101;ACIDO PERACETICO E ACETICO CON PEROSSIDO DI IDROGENO;
1;12199;2008-05-10;;;S;2008-05-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;133005;"SONDA CRYO PER RETINA, ""BONNET""";L1705;SONDE PER OFTALMOLOGIA;
1;12200;2008-05-10;;;S;2008-05-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;133006;SONDA CRYO PER GLAUCOMA;L1705;SONDE PER OFTALMOLOGIA;
1;12201;2008-05-10;;;S;2008-05-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;133007;SONDA CRYO ENDOVITREALE;L1705;SONDE PER OFTALMOLOGIA;
1;12202;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;113102;MANIPOLO FACO;Z1212020780;STRUMENTAZIONE PER FACO-VITRECTOMIA - COMPONENTI ACCESSORI HARDWARE;
1;12203;2008-02-27;;22958;N;2015-10-23;9999-12-31;GIBAUD S.A GROUPE OSSUR;;88544501927;5G1110X00AB01;COLLARE CERVICALE TIPO PHILADELPHIA;Y060312;ORTESI CERVICALI (COLLARI);2013-04-10
1;12204;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114201;CANNULA I/A RETTA CON SLEEVE IN SILICONE, ASP. 0.3;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12205;2008-07-10;;23788;N;2010-04-29;9999-12-31;GIBAUD S.A GROUPE OSSUR;;88544501927;5G0129X00NB01;CINTURA DI SOSTEGNO LOMBARE CON BRETELLA;Y060308;ORTESI LOMBO-SACRALI;2012-02-20
1;12206;2008-03-07;;;S;2008-03-07;9999-12-31;NINGBO JIANGDONG GREATCARE INTERNATIONAL TRADE CO. LTD.;;;GCU2015XX;SACCA RACCOGLI URINA DA LETTO,  CON  VALVOLA DI SCARICO,NON  STERILE;A06030399;SISTEMI DI RACCOLTA URINA - ALTRI;
1;12207;2008-02-27;;;S;2008-02-27;9999-12-31;GIBAUD S.A GROUPE OSSUR;;88544501927;5G1501X00AA;BRETELLA DI SUPPORTO;M030501;BENDAGGI PRONTI PER IMMOBILIZZAZIONE DI SPALLA, BRACCIO E CLAVICOLA;2016-12-29
1;12208;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114202;CANNULA I/A RETTA CON SLEEVE IN SILICONE, ASP. 0.5;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12209;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114203;CANNULA I/A ANGOLATA CON SLEEVE IN SILICONE, ASP. 0.3;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12210;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114204;CANNULA I/A ANGOLATA CON SLEEVE IN SILICONE, ASP. 0.5;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12211;2008-10-18;;;N;2008-10-18;9999-12-31;FARMACARE SRL;04076870379;04076870379;902505155;GOMITIERA IN VELLO SINTETICO 2PZ.;Y033309;PROTEZIONI PER TALLONE, GOMITO E GINOCCHIO;2011-06-09
1;12212;2008-10-18;;;N;2008-10-18;9999-12-31;FARMACARE SRL;04076870379;04076870379;909068405;GOMITIERE / TALLONIERE IN POLIESTERE PP;Y033309;PROTEZIONI PER TALLONE, GOMITO E GINOCCHIO;
1;12213;2008-09-11;;34824;S;2011-12-28;9999-12-31;GIBAUD S.A GROUPE OSSUR;;88544501927;5G0308X03AB01;BRACCIALE ANTIEPICONDILITE;Y060615;ORTESI PER GOMITO;
1;12214;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114205;CANNULA I/A MCINTYRE RETTA, ASP. 0.3 MM;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12215;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114206;CANNULA I/A MCINTYRE RETTA, ASP. 0.5 MM;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12216;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114207;CANNULA I/A MCINTYRE ANGOLATA, ASP. 0.3 MM;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12218;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114208;CANNULA I/A MCINTYRE ANGOLATA, ASP. 0.5 MM;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12219;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114209;CANNULA I/A MCINTYRE CURVA, ASP. 0.3 MM;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12221;2008-02-28;;;S;2008-02-28;9999-12-31;GIBAUD S.A GROUPE OSSUR;;88544501927;5G0312X00AB;BRACCIALE TENNIS ELBOW;Y060615;ORTESI PER GOMITO;
1;12222;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114210;CANNULA I/A MCINTYRE CURVA, ASP. 0.5 MM;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12223;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114211;CANNULA I/A MCINTYRE A UNCINO, ASP. 0.3 MM;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12224;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114212;CANNULA I/A MCINTYRE A 90°, ASP. 0.3 MM;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12225;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114213;CANNULA I/A ANGOLATA CON SLEEVE IN SILICONE, 0.4 MM;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12226;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114214;CANNULA I/A RETTA CON SLEEVE IN SILICONE, 0.4 MM;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12227;2008-04-09;;;S;2008-04-09;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114215;CANNULA I/A MCINTYRE ANGOLATA ASP. 0.4 MM;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12228;2008-02-28;;;S;2008-02-28;9999-12-31;FRESENIUS MEDICAL CARE AG & CO KGAA;;811127677;5085421;SPOROTAL 100;D03010101;IPOCLORITO SOLUZIONE ACQUOSA;
1;12229;2008-04-15;;;S;2008-04-15;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114216;CANNULA I/A SLEEVE SILICONE RETTA 0.3 MM 20G;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12230;2008-04-15;;;S;2008-04-15;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114217;CANNULA I/A SLEEVE SILICONE ANGOLATA 0.3 MM 20G;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12231;2008-04-15;;;S;2008-04-15;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114218;CANNULA I/A SLEEVE SILICONE RETTA 0.3 MM 21G;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12232;2008-05-04;;;S;2008-05-04;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;114219;CANNULA I/A SLEEVE SILICONE ANGOLATA 0.3 MM 21G;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12233;2008-05-10;;;S;2008-05-10;9999-12-31;OPTIKON 2000 S.P.A.;04678121007;04678121007;124001;CANNULA INFUSIONE SCLERALE ANGOLATA 20G, 3 MM;L1799;STRUMENTARIO PER OFTALMOLOGIA - ALTRO;
1;12234;2008-03-07;;;N;2008-03-07;9999-12-31;EUROFARM S.P.A.;00753720879;00753720879;717300;DRENAPAD;M04010201;MEDICAZIONI DI FISSAGGIO CATETERI ED ALTRO IN TNT;2008-08-04
1;12236;2008-03-07;;;N;2008-03-07;9999-12-31;EUROFARM S.P.A.;00753720879;00753720879;71560X;EURODERM ROLL;M04010202;MEDICAZIONI DI FISSAGGIO CATETERI ED ALTRO IN POLIURETANO;2008-04-04
1;12237;2008-03-07;;;N;2008-03-07;9999-12-31;EUROFARM S.P.A.;00753720879;00753720879;"71500X; 52900X";EUROFIX;M04010201;MEDICAZIONI DI FISSAGGIO CATETERI ED ALTRO IN TNT;2008-04-04
1;12238;2009-01-14;;;N;2009-01-14;9999-12-31;DENTALICA S.P.A.;07314790150;07314790150;TR0021D0X;GUANTI TREND DEFENDO BIANCHI CON POLVERE;T01010101;GUANTI CHIRURGICI IN LATTICE CON POLVERE LUBRIFICANTE;2012-08-01
